scheme_code,scheme_name,isin_growth,isin_reinvestment,plan,aum,ter_pct,ter_date,nsdl_scheme_code
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,INF740K01ZU6,INF740K01ZV4,regular,5201000,,,
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,,INF740KA1OI1,regular,185000,,,
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,INF740K01ZQ4,INF740K01ZR2,regular,1697000,,,
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,INF740K01ZS0,INF740K01ZT8,regular,1344000,,,
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,INF740KA1OJ9,INF740KA1OK7,regular,372000,,,
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,,direct,17713901000,,,
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,INF843K01FD6,INF843K01FE4,direct,3403000,,,
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,INF843K01FG9,,direct,67000,,,
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,INF843K01FI5,INF843K01FH7,direct,1625000,,,
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,INF843K01FF1,,direct,380000,,,
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,,regular,5045459000,,,
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,INF843K01FL9,INF843K01FM7,regular,4560000,,,
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,INF843K01FO3,,regular,822000,,,
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,INF843K01FQ8,INF843K01FP0,regular,2015000,,,
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,INF843K01FN5,,regular,886000,,,
